id,logos,section,paragraph,tec_category,secondary_category,polarity,confidence,justification,error,page_start,biblical_citations
120,Ε΄,§40,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΕΛΠΙΔΑ,ΕΝΤΟΛΗ,Θετικό,0.71,"Το ρητορικό ερώτημα «πῶς ἄνθρωποι τοσαύτης δόξης ἀπήλαυσαν» λειτουργεί ως παρηγορητικό επιχείρημα: η κοινή ανθρώπινη αδυναμία δεν αποκλείει τη σωτηρία, κινητοποιώντας έτσι ελπίδα μέσα από τη συγκριτική αναφορά στους αγίους.",,99,
121,Ε΄,§41,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΚΑΤΗΓΟΡΙΑ,ΕΛΠΙΔΑ,Αρνητικό,0.74,"Ρητορικό ερώτημα «διατί διέστημεν» — αυστηρός έλεγχος της υστέρησης των πιστών ως αποτέλεσμα δικής τους παράλειψης, με δευτερεύουσα ελπίδα ότι η μακαρία ὁδός παραμένει ανοιχτή.",,99,
122,Ε΄,§42,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΚΑΤΗΓΟΡΙΑ,ΜΕΤΑΝΟΙΑ,Αρνητικό,0.88,Εκτεταμένη καταγραφή παθών και παραβάσεων με αυτοκατηγορητικό τόνο — η παρένθεση αποκαλύπτει συνειδητή ηθική επίπληξη στραμμένη πρώτα προς τον ίδιο τον συγγραφέα.,,99,
123,Ε΄,§43,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΕΝΤΟΛΗ,ΔΟΞΟΛΟΓΙΑ,Ουδέτερο,0.78,"Η παράγραφος εκθέτει με διδακτικό-ερμηνευτικό τόνο την έννοια του κατ᾿ εἰκόνα καὶ καθ᾿ ὁμοίωσιν, προσδιορίζοντας κανονιστικά τι οφείλει να είναι ο άνθρωπος, ενώ η αναφορά στο θεϊκό μεγαλείο ως κτίστου αγγίζει δευτερευόντως τη δοξολογική διάσταση.",,99,
124,Ε΄,§44,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΔΟΞΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Θετικό,0.82,"Παράλληλη δόμηση θεϊκής βασιλείας και ανθρώπινης αρετής με επαναλαμβανόμενα ρήματα μεγαλοπρέπειας (ἐβασίλευσεν, ἐνεδύσατο, περιεζώσατο) δημιουργεί ύμνο αγαλλίασης για τη θεία τάξη και την ανθρώπινη συμμετοχή σε αυτήν.",,100,
125,Ε΄,§45,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΜΕΤΑΝΟΙΑ,ΑΓΑΠΗ,Αρνητικό,0.74,"Η αντίθεση μεταξύ της αναμαρτησίας του Χριστού και της καθολικής αμαρτωλότητας των ανθρώπων («ἡμεῖς δὲ πάντες ἡμάρτομεν») δημιουργεί κατανυκτικό τόνο μετανοίας, που μετριάζεται από την ελπίδα της χάριτος.",,100,
126,Ε΄,§46,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΜΕΤΑΝΟΙΑ,ΕΛΠΙΔΑ,Θετικό,0.88,"Τρία παραδείγματα μετανοούντων αγίων (Μωυσής Αιθίοπας, Μαρία Αιγυπτία, Πελαγία) παρουσιάζονται ως απόδειξη ότι η μετάνοια οδηγεί σε θεία χάρη εν ζωή — αρνητική αφετηρία αμαρτίας που κορυφώνεται σε θετική ελπίδα.",,100,
127,Ε΄,§47,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΚΑΤΗΓΟΡΙΑ,ΜΕΤΑΝΟΙΑ,Αρνητικό,0.87,"Η παράγραφος αντιπαραβάλλει την ηρωική αρετή των Πατέρων με την αδυναμία και παράβαση των εντολών από τους αναγνώστες, καταλήγοντας σε οξεία αυτοκατηγορία («οὐ μόνον βλέπομεν πρὸς τὸ ἐπιθυμῆσαι, ἀλλὰ καὶ ἀναιδῶς ἁμαρτάνομεν»), με δευτερεύον στοιχείο κατανυκτικής αυτογνωσίας που τείνει προς μετάνοια.",,100,
128,Ε΄,§48,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΚΑΤΗΓΟΡΙΑ,ΜΕΤΑΝΟΙΑ,Αρνητικό,0.87,"Η οξεία αντιπαράθεση εκείνων/ἡμεῖς αποκαλύπτει αυστηρή ηθική επίπληξη κατά της παράβασης εντολών, με υπόστρωμα κατανυκτικής αυτομεμψίας («ἀξίως καὶ δικαίως ἐλάχιστοι διαμένομεν»).",,100,
129,Ε΄,§49,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.87,"Η φράση «Φοβερὰ ἡ ἀπειλή» και η αντίθεση ἐλάχιστος/μέγας στη βασιλεία των ουρανών συνθέτουν έντονο εσχατολογικό πλαίσιο κρίσης, με δευτερεύοντα κατηγορητικό τόνο έναντι των παραβατών των εντολών.",,100,
130,Ε΄,§50,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΕΝΤΟΛΗ,ΕΣΧΑΤΟΛΟΓΙΑ,Ουδέτερο,0.78,"Ο συγγραφέας εκθέτει διδακτικά την απαίτηση περί δικαιοσύνης πλείονος των Φαρισαίων ως προϋπόθεση εισόδου στη βασιλεία, με κανονιστικό-ερμηνευτικό τόνο χωρίς έντονη συναισθηματική φόρτιση.",,101,
131,Ε΄,§51,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΚΑΤΗΓΟΡΙΑ,ΕΣΧΑΤΟΛΟΓΙΑ,Αρνητικό,0.91,Οξεία ηθική επίπληξη κατά πλεονεκτών και κλεπτών με ρητή αποκλεισμό από τη Βασιλεία — αυστηρός ελεγκτικός τόνος με εσχατολογική διάσταση.,,101,
132,Ε΄,§52,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΚΑΤΗΓΟΡΙΑ,ΕΝΤΟΛΗ,Αρνητικό,0.91,"Ο άγιος απευθύνεται σε πλεονέκτη αποκαλύπτοντας ως βδέλυγμα τις από αρπαγή προσφορές και επιπλήττει αυστηρά, ενώ στο τέλος εισάγεται κανονιστική εντολή επιστροφής στους αδικηθέντες.",,101,
133,Ε΄,§53,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΕΝΤΟΛΗ,ΕΣΧΑΤΟΛΟΓΙΑ,Ουδέτερο,0.81,"Ο λόγος κινείται σε κανονιστικό τόνο με σαφείς πρακτικές οδηγίες (ἀπέχου, μεταδῷς) και αναφορές στη Βασιλεία ως εσχατολογικό κίνητρο, χωρίς έντονη συναισθηματική φόρτιση.",,101,
134,Ε΄,§54,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΚΑΤΗΓΟΡΙΑ,ΕΣΧΑΤΟΛΟΓΙΑ,Αρνητικό,0.91,"Τριπλή κλιμάκωση ἔνοχος (κρίσει → συνεδρίῳ → γέεννα) αποτελεί αυστηρή ηθική επίπληξη κατά της οργής και της ύβρεως, με εσχατολογικό υπόβαθρο ως επικουρική φόρτιση.",,101,
135,Ε΄,§55,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.82,Ο Χριστός παρουσιάζεται ως ἄριστος ἰατρός που μεθοδικά περικόπτει την ἁμαρτία στη ρίζα της — κυρίαρχος διδακτικός/κανονιστικός τόνος με υποκείμενη πατρική φροντίδα.,,102,
136,Ε΄,§56,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΕΣΧΑΤΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Αρνητικό,0.87,"Η απειλή της γέεννας του πυρός για τον λέγοντα «μωρέ» δημιουργεί έντονη εσχατολογική φόρτιση με σκοπό την αφύπνιση, ενώ παράλληλα εκτίθενται κανονιστικά οι εντολές.",,102,
137,Ε΄,§57,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.84,Η επανάληψη γέεννα/γέενναν τοῦ πυρός ως συνέπεια εμπαιγμού του ανθρώπου — εικόνος Θεοῦ — συνδυάζει εσχατολογική αφύπνιση με έντονη ηθική επίπληξη κατά της βίας και της υβριστικής γλώσσας.,,102,
138,Ε΄,§58,Εἰς τὰς ἁγίας ἐντολὰς τοῦ Σωτῆρος καὶ περὶ τῶν πέντε τοῦ σώματος αἰσθήσεων,ΕΝΤΟΛΗ,ΕΛΠΙΔΑ,Θετικό,0.72,"Η παράγραφος κινείται κυρίως σε διδακτικό-κανονιστικό τόνο (ἐρευνᾶτε τὰς γραφάς, τήρηση ἐντολῶν, μνήμη ἐντολῶν) με σαφή προτρεπτική διάθεση, ενώ η δοξολογική κατάληξη και η ελπίδα αιωνίων ἀγαθῶν εισάγουν δευτερεύουσα θετική εσχατολογική φόρτιση.",,102,
139,ΣΤ΄,§7,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΣΧΑΤΟΛΟΓΙΑ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.88,Η ρητορική σύγκριση με τον Αδάμ λειτουργεί ως εσχατολογική αφύπνιση — η πτώση του ενός ως προειδοποίηση για την αναμενόμενη καταδίκη των πολλών και επανειλημμένων παραβάσεων.,,104,
140,ΣΤ΄,§8,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΚΑΤΗΓΟΡΙΑ,ΕΣΧΑΤΟΛΟΓΙΑ,Αρνητικό,0.96,"Εκτενής κατάλογος παραπτωμάτων με διαδοχικές μετοχές (ἀργολογοῦντας, αἰσχρολογοῦντας, μωρολογοῦντας κ.ο.κ.) συνθέτει αμείλικτη ηθική επίπληξη που κορυφώνεται στην εικόνα της πλατείας ὁδοῦ τῆς ἀπωλείας.",,104,
141,ΣΤ΄,§9,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.82,"Συσσώρευση ευαγγελικών ρητών περί τήρησης εντολών με σαφή κανονιστικό τόνο, με υπόρρητο έλεγχο των λεγόντων Κύριε χωρίς πράξη.",,104,
142,ΣΤ΄,§10,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Αρνητικό,0.78,"Διπλή γραφική μαρτυρία για την τήρηση εντολών: η κατάρα κατά των παραβατών (Δαυίδ) εισάγει κατηγορητικό τόνο, ενώ η ρήση Σολομώντος επιβεβαιώνει τον κανονιστικό χαρακτήρα της παραγράφου.",,104,
143,ΣΤ΄,§11,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΕΣΧΑΤΟΛΟΓΙΑ,Ουδέτερο,0.74,"Ο Νεόφυτος παρουσιάζει κανονιστικά την εντολή της συνδιαλλαγής με τον αντίδικο, ενισχύοντάς την με εσχατολογική απειλή φυλακής και χρηματικής απόδοσης, ενώ θεολογικά θεμελιώνει το ἀνεξίκακον του Χριστού ως πρότυπο μίμησης.",,104,
144,ΣΤ΄,§12,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.81,"Σειρά κανονιστικών απαρεμφάτων (ἀγαπᾶν, εὔχεσθαι, μὴ ἀντιστῆναι, ταπεινοῦσθαι, διδόναι) εκθέτουν συστηματικά την εντολή της ανεξικακίας, με δευτερεύουσα χροιά αγάπης λόγω της πατρικής βουλήσεως του πανάγαθου.",,105,
145,ΣΤ΄,§13,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΕΣΧΑΤΟΛΟΓΙΑ,Ουδέτερο,0.74,"Ο Δεσπότης παρουσιάζεται ως «μεσίτης χρηστότατος» που εκδίδει πρακτική εντολή συμφιλίωσης με τον αντίδικο, με κανονιστικό τόνο που ενισχύεται από εσχατολογική απειλή φυλάκισης και έσχατης λογοδοσίας.",,105,
146,ΣΤ΄,§14,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΚΑΤΗΓΟΡΙΑ,ΕΛΠΙΔΑ,Αρνητικό,0.82,"Η αντίθεση μεταξύ των πειθαρχούντων (γαλήνη, εύδιος λιμήν) και των μη τηρούντων τις εντολές (ζάλη, ολέθρια πάθη, αυτοκόλαστοι) λειτουργεί ως ηθική επίπληξη κατά της απειθαρχίας, με αρνητική φόρτιση να κυριαρχεί παρά τη δευτερεύουσα ελπιδοφόρα εικόνα της βασιλείας.",,105,
147,ΣΤ΄,§15,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΦΟΒΟΣ_ΘΕΟΥ,Ουδέτερο,0.62,"Διδακτική-ερμηνευτική παράγραφος που εκθέτει αναλυτικά την αντίθεση σώματος-ψυχής με παύλεια τεκμηρίωση, χωρίς κυρίαρχο συναίσθημα αλλά με ελαφρά υποβόσκουσα ανησυχία για την υλική συγγένεια που τραβά κάτω.",,105,
148,ΣΤ΄,§16,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΣΧΑΤΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Αρνητικό,0.87,"Η αλυσίδα παράδοσης — κριτής ἁμαρτίας, ἄρχων ἀέρος, δαίμων, φυλακή παθῶν — δημιουργεί εσχατολογικό τρόμο ως κίνητρο άμεσης μεταστροφής, με εμφανή κανονιστικό υπόβαθρο στην προστακτική ἴσθι.",,105,
149,ΣΤ΄,§17,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΕΣΧΑΤΟΛΟΓΙΑ,Αρνητικό,0.87,"Κυριαρχεί ο κανονιστικός-διδακτικός τόνος με ερμηνεία εντολής του Δεσπότη περί αποκοπής του σκανδαλίζοντος, ενώ η επαναλαμβανόμενη αναφορά στη γέεννα προσδίδει έντονη εσχατολογική αρνητική φόρτιση.",,105,
150,ΣΤ΄,§18,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΕΣΧΑΤΟΛΟΓΙΑ,Ουδέτερο,0.78,"Διδακτική ερμηνεία της εντολής περί σκανδαλισμού με αλληγορική ανάλυση και εσχατολογική αναφορά στη γέενναν, σε κυρίως κανονιστικό-ερμηνευτικό τόνο.",,106,
151,ΣΤ΄,§19,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΔΟΞΟΛΟΓΙΑ,Θετικό,0.74,"Διδακτική ερμηνεία της εντολής περί μελών του σώματος με κανονιστικό τόνο, που καταλήγει σε θετική θεολογική θέση: τα μέλη δόθηκαν εἰς δόξαν Θεοῦ καὶ σωτηρίαν, προσδίδοντας δοξολογική χροιά.",,106,
152,ΣΤ΄,§20,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.82,"Η παράγραφος εκθέτει ερμηνευτικά και κανονιστικά τις εντολές περί γάμου και εὐνουχίας με σαφή διδακτικό τόνο, ενώ υπονοείται ήπιος έλεγχος κατά της άκαιρης απόλυσης συζύγου.",,106,
153,ΣΤ΄,§21,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.81,"Η παράγραφος εκθέτει με νομικό-κανονιστικό τρόπο τους όρους του γάμου και της απολύσεως, με εμφανή διδακτική δομή («οὐ συγχωρεῖται»), ενώ η αναφορά στη μοιχαλίδα γυναίκα εισάγει ένα στοιχείο ηθικής επίπληξης.",,106,
154,ΣΤ΄,§22,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.78,"Η παράγραφος εκθέτει με διδακτικό-ερμηνευτικό τόνο κανονιστικές διακρίσεις μεταξύ πορνείας και μοιχείας βασισμένες στον Βασίλειο και τον Ησαΐα, με δευτερεύουσα κατηγοριακή χροιά στον χαρακτηρισμό 'ἄφρων καὶ ἀσεβής'.",,106,
155,ΣΤ΄,§23,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.82,"Η παράγραφος εκθέτει με διδακτικό-κανονιστικό τρόπο την εντολή περί αδιαλύτου του γάμου, με δευτερεύουσα κατηγορητική χροιά απέναντι στη σκληροκαρδία των Ιουδαίων και τον δαιμονιώδη έρωτα.",,107,
156,ΣΤ΄,§24,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΦΟΒΟΣ_ΘΕΟΥ,Ουδέτερο,0.88,"Η παράγραφος εκθέτει με κανονιστικό και διδακτικό τόνο την εντολή περί ορκωμοσίας, με πολλαπλές απαγορευτικές προστακτικές (μὴ ὀμόσαι, μήτε... μήτε), ενώ η αναφορά στον θρόνο και το υποπόδιο του Θεού εισάγει μια δευτερεύουσα διάσταση ιεροῦ δέους.",,107,
157,ΣΤ΄,§25,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.82,"Η παράγραφος εκθέτει αναλυτικά και κανονιστικά την εντολή περί μη ορκωμοσίας με ρητές προστακτικές και διδακτική αιτιολόγηση, ενώ ο δευτερεύων ελεγκτικός τόνος («ἐκ τοῦ πονηροῦ», συνήθεια ψευδών όρκων) προσδίδει ήπια κατηγορική χροιά.",,107,
158,ΣΤ΄,§26,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΚΑΤΗΓΟΡΙΑ,ΕΝΤΟΛΗ,Αρνητικό,0.88,"Ο συγγραφέας ελέγχει με πικρία («ὢ τῆς ζημίας») την παράβαση της εντολής περί ὅρκων, καταδεικνύοντας τη διπλή βλάβη — ηθική και πρακτική — που πηγάζει από την επίμονη χρήση τους.",,107,
159,ΣΤ΄,§27,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΚΑΤΗΓΟΡΙΑ,ΕΝΤΟΛΗ,Αρνητικό,0.87,"Σφοδρή ηθική επίπληξη κατά της επιορκίας και της ψευδορκίας — οὐκ αἰσχυνόμεθα, ἐλεεινότερον — με υπόβαθρο εντολής περί μη όρκου.",,107,
160,ΣΤ΄,§28,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΚΑΤΗΓΟΡΙΑ,ΜΕΤΑΝΟΙΑ,Αρνητικό,0.82,"Η αντίθεση μεταξύ υποδειγματικής τήρησης της εντολής από τους Αντιοχείς και της αδιάφορης πολύορκίας των συγχρόνων («μυριάκις ὀμνύοντες... οὐδ᾿ εἰς ἔννοιαν φέρομεν») αποτελεί σκληρή ηθική επίπληξη, που κλείνει ωστόσο με μετανοητική ικεσία («φεῖσαι ἡμῶν, Κύριε»).",,108,
161,ΣΤ΄,§29,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.82,"Σειρά ρητών κανονιστικών οδηγιών (ἐλεημοσύνη, προσευχή, νηστεία) με απαρεμφατικές κατασκευές και αντίθεση προς την υποκριτική συμπεριφορά των ὑποκριτῶν, που δηλώνει ήπιο ελεγκτικό υπόστρωμα.",,108,
162,ΣΤ΄,§30,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.78,"Ο Νεόφυτος εκθέτει κανονιστικά τη σωστή πρακτική ελεημοσύνης, νηστείας και προσευχής, με παράλληλη επίπληξη κατά της υποκριτικής αναζήτησης ανθρώπινης δόξας.",,108,
163,ΣΤ΄,§31,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΔΟΞΟΛΟΓΙΑ,Ουδέτερο,0.81,"Ο Νεόφυτος παραθέτει και ερμηνεύει την Κυριακή Προσευχή με σαφώς κανονιστικό τόνο (Οὕτως οὖν προσεύχεσθε, Μὴ βαττολογήσητε), ενώ η δοξολογική κατακλείδα (ἡ βασιλεία καὶ ἡ δύναμις καὶ ἡ δόξα) εισάγει δευτερεύοντα ύμνο.",,108,
164,ΣΤ΄,§32,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΑΓΑΠΗ,Ουδέτερο,0.81,"Η εικόνα του φιλόπονου γεωργού αποδίδει πατρική φροντίδα του Χριστού, αλλά ο κυρίαρχος τόνος παραμένει κανονιστικός μέσω της διπλής εντολής κατά βαττολογίας και της ρητής επίπληξης με δύο ἐγκλήματα.",,109,
165,ΣΤ΄,§33,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΚΑΤΗΓΟΡΙΑ,Ουδέτερο,0.78,"Διδακτική ερμηνεία της βαττολογίας με κανονιστική κατεύθυνση προς ορθή προσευχή, με ήπια επίκριση όσων αιτούνται κοσμικά αγαθά.",,109,
166,ΣΤ΄,§34,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΚΑΤΗΓΟΡΙΑ,ΜΕΤΑΝΟΙΑ,Αρνητικό,0.78,"Ο συγγραφέας ελέγχει αυστηρά την ἀναίσθητη και ἀπρόσεκτη απαγγελία της Κυριακής Προσευχής, ενώ κλείνει με μετανοητική επίκληση για αίσθηση καρδίας.",,109,
167,ΣΤ΄,§35,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΔΟΞΟΛΟΓΙΑ,Ουδέτερο,0.78,"Η παράγραφος εκθέτει ερμηνευτική διευκρίνιση εντολής περί προσευχής με κανονιστικό τόνο, ενώ η αναφορά στο «εὐλογεῖν ἐν παντὶ καιρῷ» και την «αἴνεσιν διαπαντὸς» εισάγει δευτερευόντως δοξολογικό χαρακτήρα.",,109,
168,ΣΤ΄,§36,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΕΣΧΑΤΟΛΟΓΙΑ,Αρνητικό,0.82,"Ο Νεόφυτος ερμηνεύει διδακτικά την εντολή κατά της θησαύρισης (μὴ θησαυρίζετε), με αρνητική φόρτιση από τις εικόνες φθοράς (σής, βρώσις, κλέπται) και το ιωβικό γυμνός — η ματαιότητα του πλούτου συνδέεται με εσχατολογική συνείδηση.",,110,
169,ΣΤ΄,§37,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΚΑΤΗΓΟΡΙΑ,ΕΝΤΟΛΗ,Αρνητικό,0.84,Ερμηνεία Παύλου με διπλή καταδίκη της φιλοπλουτίας ως παγίδας διαβόλου και πηγής κενοδοξίας — έντονος ελεγκτικός τόνος με αναλυτική αποδόμηση της αμαρτίας.,,110,
170,ΣΤ΄,§38,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΝΤΟΛΗ,ΕΛΠΙΔΑ,Θετικό,0.81,"Διπλή προστακτική (μὴ θησαυρίζετε / θησαυρίζετε) δίνει κανονιστικό πλαίσιο, ενώ η εκτεταμένη περιγραφή του ουράνιου θησαυρού ως ἄσυλου, ἄφθαρτου και φωτεινού χώρου εισάγει ισχυρή εσχατολογική ελπίδα.",,110,
171,ΣΤ΄,§39,Εἰς τὰς ἁγίας αὖθις ἐντολὰς τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,ΕΣΧΑΤΟΛΟΓΙΑ,ΕΝΤΟΛΗ,Ουδέτερο,0.74,"Η αντίθεση ἄνω/κάτω, φῶς/σκότος και η κατάληξη στη συνάθροιση των δικαίων εκεῖ όπου απέστειλαν τις καρδίες τους παράγουν εσχατολογική συνείδηση με ταυτόχρονο κανονιστικό κίνητρο — θησαυρίσωμεν ἄνω — γεγονός που κρατά την πολικότητα ισορροπημένη μεταξύ αφύπνισης και παρότρυνσης.",,110,
